Sex,Rings,Length,Diameter,Height,Weight
M,15,0.455,0.365,0.095,0.514
M,7,0.35,0.265,0.09,0.2255
F,9,0.53,0.42,0.135,0.677
M,10,0.44,0.365,0.125,0.516
I,7,0.33,0.255,0.08,0.205
I,8,0.425,0.3,0.095,0.3515
F,20,0.53,0.415,0.15,0.7775
F,16,0.545,0.425,0.125,0.768
M,9,0.475,0.37,0.125,0.5095
F,19,0.55,0.44,0.15,0.8945
F,14,0.525,0.38,0.14,0.6065
M,10,0.43,0.35,0.11,0.406
M,11,0.49,0.38,0.135,0.5415
F,10,0.535,0.405,0.145,0.6845
F,10,0.47,0.355,0.1,0.4755
M,12,0.5,0.4,0.13,0.6645
I,7,0.355,0.28,0.085,0.2905
F,10,0.44,0.34,0.1,0.451
M,7,0.365,0.295,0.08,0.2555
M,9,0.45,0.32,0.1,0.381
M,11,0.355,0.28,0.095,0.2455
I,10,0.38,0.275,0.1,0.2255
F,12,0.565,0.44,0.155,0.9395
F,9,0.55,0.415,0.135,0.7635
F,10,0.615,0.48,0.165,1.1615
F,11,0.56,0.44,0.14,0.9285
F,11,0.58,0.45,0.185,0.9955
M,12,0.59,0.445,0.14,0.931
M,15,0.605,0.475,0.18,0.9365
M,11,0.575,0.425,0.14,0.8635
M,10,0.58,0.47,0.165,0.9975
F,15,0.68,0.56,0.165,1.639
M,18,0.665,0.525,0.165,1.338
F,19,0.68,0.55,0.175,1.798
F,13,0.705,0.55,0.2,1.7095
M,8,0.465,0.355,0.105,0.4795
F,16,0.54,0.475,0.155,1.217
F,8,0.45,0.355,0.105,0.5225
F,11,0.575,0.445,0.135,0.883
M,9,0.355,0.29,0.09,0.3275
F,9,0.45,0.335,0.105,0.425
F,14,0.55,0.425,0.135,0.8515
I,5,0.24,0.175,0.045,0.07
I,5,0.205,0.15,0.055,0.042
I,4,0.21,0.15,0.05,0.042
I,7,0.39,0.295,0.095,0.203
M,9,0.47,0.37,0.12,0.5795
F,7,0.46,0.375,0.12,0.4605
I,6,0.325,0.245,0.07,0.161
F,9,0.525,0.425,0.16,0.8355
I,8,0.52,0.41,0.12,0.595
M,7,0.4,0.32,0.095,0.303
M,10,0.485,0.36,0.13,0.5415
F,10,0.47,0.36,0.12,0.4775
M,7,0.405,0.31,0.1,0.385
F,8,0.5,0.4,0.14,0.6615
M,8,0.445,0.35,0.12,0.4425
M,8,0.47,0.385,0.135,0.5895
I,4,0.245,0.19,0.06,0.086
F,7,0.505,0.4,0.125,0.583
M,7,0.45,0.345,0.105,0.4115
M,9,0.505,0.405,0.11,0.625
F,10,0.53,0.41,0.13,0.6965
M,7,0.425,0.325,0.095,0.3785
M,8,0.52,0.4,0.12,0.58
M,8,0.475,0.355,0.12,0.48
F,12,0.565,0.44,0.16,0.915
F,13,0.595,0.495,0.185,1.285
F,10,0.475,0.39,0.12,0.5305
I,6,0.31,0.235,0.07,0.151
M,13,0.555,0.425,0.13,0.7665
F,8,0.4,0.32,0.11,0.353
F,20,0.595,0.475,0.17,1.247
M,11,0.57,0.48,0.175,1.185
F,13,0.605,0.45,0.195,1.098
F,15,0.6,0.475,0.15,1.0075
M,9,0.595,0.475,0.14,0.944
F,10,0.6,0.47,0.15,0.922
F,11,0.555,0.425,0.14,0.788
F,14,0.615,0.475,0.17,1.1025
F,9,0.575,0.445,0.14,0.941
M,12,0.62,0.51,0.175,1.615
F,16,0.52,0.425,0.165,0.9885
M,21,0.595,0.475,0.16,1.3175
M,14,0.58,0.45,0.14,1.013
F,12,0.57,0.465,0.18,1.295
M,13,0.625,0.465,0.14,1.195
M,10,0.56,0.44,0.16,0.8645
F,9,0.46,0.355,0.13,0.517
F,12,0.575,0.45,0.16,0.9775
M,15,0.565,0.425,0.135,0.8115
M,12,0.555,0.44,0.15,0.755
M,13,0.595,0.465,0.175,1.115
F,10,0.625,0.495,0.165,1.262
M,15,0.695,0.56,0.19,1.494
M,14,0.665,0.535,0.195,1.606
M,9,0.535,0.435,0.15,0.725
M,8,0.47,0.375,0.13,0.523
M,7,0.47,0.37,0.13,0.5225
F,10,0.475,0.375,0.125,0.5785
I,7,0.36,0.265,0.095,0.2315
M,15,0.55,0.435,0.145,0.843
M,15,0.53,0.435,0.16,0.883
M,10,0.53,0.415,0.14,0.724
M,12,0.605,0.47,0.16,1.1735
F,12,0.52,0.41,0.155,0.727
F,11,0.545,0.43,0.165,0.802
F,10,0.5,0.4,0.125,0.6675
